,Restaurant,URL,Latitude,Longitude,Latitude & Longitude
0,Domino's Pizza - Espana Boulevard,https://food.grab.com/ph/en/restaurant/a-veneto-pizzeria-ristorante-fisher-mall-available-for-long-distance-delivery-delivery/2-C2AKDFUCAP3FVN,14.5995,120.9842,"14.5995,120.9842"
1,Pizza Telefono - UST [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/domino-s-pizza-espana-boulevard-delivery/2-C2LURYBTCUUKJE,14.5995,120.9842,"14.5995,120.9842"
2,Amici - Don Bosco [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/pizza-telefono-ust-available-for-long-distance-delivery-delivery/2-CZBWAGD2G8LVGN,14.5995,120.9842,"14.5995,120.9842"
3,Pizza Hut - CM Recto [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/amici-don-bosco-available-for-long-distance-delivery-delivery/PHGFSTI0000002i,14.5995,120.9842,"14.5995,120.9842"
4,Lots'A Pizza - SM San Lazaro [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/pizza-hut-cm-recto-available-for-long-distance-delivery-delivery/2-CYLCMEJHCNTCGJ,14.5995,120.9842,"14.5995,120.9842"
5,FIC (Fruits in Ice Cream) - New Manila QC [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/lots-a-pizza-sm-san-lazaro-available-for-long-distance-delivery-delivery/2-CYMAA8BUWEN3TA,14.5995,120.9842,"14.5995,120.9842"
6,Shakey's Pizza - SM Manila,https://food.grab.com/ph/en/restaurant/fic-fruits-in-ice-cream-new-manila-qc-available-for-long-distance-delivery-delivery/2-C2BVNXVGMGADJA,14.5995,120.9842,"14.5995,120.9842"
7,Fat Boy's Pizza Pasta - Suki Market Dapitan [Available for LONG DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/shakey-s-pizza-sm-manila-delivery/2-CYK2GKKGJNAVN2,14.5995,120.9842,"14.5995,120.9842"
8,Italianni's Restaurant - Robinsons Place Manila [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/fat-boy-s-pizza-pasta-suki-market-dapitan-available-for-long-distance-delivery-delivery/2-C22VJJ5YNX32FE,14.5995,120.9842,"14.5995,120.9842"
9,Italianni's - Robinsons Magnolia [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/italianni-s-restaurant-robinsons-place-manila-available-for-long-distance-delivery-delivery/PHGFSTI000000u1,14.5995,120.9842,"14.5995,120.9842"
10,Yummy Chai Tea By Ladylynx Food And Milktea Hub - Park Royal Bldg Sampaloc [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/italianni-s-robinsons-magnolia-available-for-long-distance-delivery-delivery/2-C3BWN6CGJPMTTX,14.5995,120.9842,"14.5995,120.9842"
11,Corner Pizza - First Residences Manila [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/yummy-chai-tea-by-ladylynx-food-and-milktea-hub-park-royal-bldg-sampaloc-available-for-long-distance-delivery-delivery/2-C3EBCEVTET5KMA,14.5995,120.9842,"14.5995,120.9842"
12,Pizza Monte - New York Avenue [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/corner-pizza-first-residences-manila-available-for-long-distance-delivery-delivery/2-C2JYJ7JJLTXHN2,14.5995,120.9842,"14.5995,120.9842"
13,Mama Lou's Bambino - Ayala North Exchange [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/pizza-monte-new-york-avenue-available-for-long-distance-delivery-delivery/2-C2CVTVCXAX5DTX,14.5995,120.9842,"14.5995,120.9842"
14,Happy Thirstday - Sampaloc [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/mama-lou-s-bambino-ayala-north-exchange-available-for-long-distance-delivery-delivery/2-CYXCMEDJR8KKLX,14.5995,120.9842,"14.5995,120.9842"
15,Francesco's - Addition Hills [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/happy-thirstday-sampaloc-available-for-long-distance-delivery-delivery/2-C2NXGFKDPEEACE,14.5995,120.9842,"14.5995,120.9842"
16,R.Reyes Pizza Hub - 4th Avenue [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/francesco-s-addition-hills-available-for-long-distance-delivery-delivery/2-CY6KRAJ3BGLJDA,14.5995,120.9842,"14.5995,120.9842"
17,Motorino - Greenbelt 3 [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/r-reyes-pizza-hub-4th-avenue-available-for-long-distance-delivery-delivery/2-CY4ZBAWCPBCYKA,14.5995,120.9842,"14.5995,120.9842"
18,Tea N' Dough - Laon Laan Street [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/motorino-greenbelt-3-available-for-long-distance-delivery-delivery/PHGFSTI000003q0,14.5995,120.9842,"14.5995,120.9842"
19,Cali Pizza - Tomas Morato [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/tea-n-dough-laon-laan-street-available-for-long-distance-delivery-delivery/2-C2CXVZLHRB6AUE,14.5995,120.9842,"14.5995,120.9842"
20,Caruso Ristorante Italiano - LRI Design Plaza [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/cali-pizza-tomas-morato-available-for-long-distance-delivery-delivery/2-C2BZVNMCR2L2UA,14.5995,120.9842,"14.5995,120.9842"
21,Bossing Kambal Pizza and Silog Meals - R. Papa [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/caruso-ristorante-italiano-lri-design-plaza-available-for-long-distance-delivery-delivery/2-C2NFLLBZT8C3FE,14.5995,120.9842,"14.5995,120.9842"
22,The Perfect Pint - Greenbelt 2 [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/bossing-kambal-pizza-and-silog-meals-r-papa-available-for-long-distance-delivery-delivery/2-C2MFTAU2ATB2GT,14.5995,120.9842,"14.5995,120.9842"
23,Wildflour Pizza - Salcedo [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/the-perfect-pint-greenbelt-2-available-for-long-distance-delivery-delivery/2-CZCYGKJ3E7KVJT,14.5995,120.9842,"14.5995,120.9842"
24,Ombu Kusina - Mother Ignacia Avenue [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/wildflour-pizza-salcedo-available-for-long-distance-delivery-delivery/2-CZNUEPJYEB2VTA,14.5995,120.9842,"14.5995,120.9842"
25,Jujubis Ka Tea - Pedro Gil Street,https://food.grab.com/ph/en/restaurant/ombu-kusina-mother-ignacia-avenue-available-for-long-distance-delivery-delivery/PHGFSTI000002hq,14.5995,120.9842,"14.5995,120.9842"
26,Di' Mark's Pizza - Taft [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/jujubis-ka-tea-pedro-gil-street-delivery/2-C2TABEX1LA5XNA,14.5995,120.9842,"14.5995,120.9842"
27,Take Me Out by Novotel - Araneta City [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/di-mark-s-pizza-taft-available-for-long-distance-delivery-delivery/PHGFSTI000003g2,14.5995,120.9842,"14.5995,120.9842"
28,Pizza Italia - Dimasalang Road,https://food.grab.com/ph/en/restaurant/take-me-out-by-novotel-araneta-city-available-for-long-distance-delivery-delivery/2-C2XHKGEVJNEVVE,14.5995,120.9842,"14.5995,120.9842"
29,Johnny's Steak and Grill - Scout Rallos Street [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/pizza-italia-dimasalang-road-delivery/2-C2ATA73CTN43AA,14.5995,120.9842,"14.5995,120.9842"
30,Torch Restaurant - Greenhills [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/johnny-s-steak-and-grill-scout-rallos-street-available-for-long-distance-delivery-delivery/2-C2MAL2BUEALHSE,14.5995,120.9842,"14.5995,120.9842"
31,Pizza Dragon - Teresa Street,https://food.grab.com/ph/en/restaurant/torch-restaurant-greenhills-available-for-long-distance-delivery-delivery/PHGFSTI000000fr,14.5995,120.9842,"14.5995,120.9842"
32,Pizza Pizza PH - Addition Hills [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/pizza-dragon-teresa-street-delivery/2-C25DNXJAGN3BA6,14.5995,120.9842,"14.5995,120.9842"
33,Pizza Bene - Scout Tobias [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/pizza-pizza-ph-addition-hills-available-for-long-distance-delivery-delivery/2-C2NTTRBWVY2CDE,14.5995,120.9842,"14.5995,120.9842"
34,Chois Pizza,https://food.grab.com/ph/en/restaurant/pizza-bene-scout-tobias-available-for-long-distance-delivery-delivery/2-C2NKGVKFAJCTVJ,14.5995,120.9842,"14.5995,120.9842"
35,Lex's Pizza Atbp - Rivera Street [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/chois-pizza-delivery/2-C2TXV7WKA7W1UE,14.5995,120.9842,"14.5995,120.9842"
36,Breaktime - Claro Castaneda [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/lex-s-pizza-atbp-rivera-street-available-for-long-distance-delivery-delivery/2-C3JEHGDFLALBJ6,14.5995,120.9842,"14.5995,120.9842"
37,Cafe Summit - Greenhills [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/breaktime-claro-castaneda-available-for-long-distance-delivery-delivery/2-C2WYL4LKT3MFVT,14.5995,120.9842,"14.5995,120.9842"
38,Pizza Haus Manila - Recto Avenue,https://food.grab.com/ph/en/restaurant/cafe-summit-greenhills-available-for-long-distance-delivery-delivery/2-CZNCLTXETPCDFE,14.5995,120.9842,"14.5995,120.9842"
